Kecamatan,Jumlah Penduduk Menurut Kecamatan dan Jenis Kelamin di Kabupaten Batang Hari (Jiwa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Laki-laki,,,,,,,,,,,,,,,Perempuan,,,,,,,,,,,,,,,Jumlah,,,,,,,,,,,,,,
,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Batang Hari,123515,129886,129163,131730,131294,133017,134691,136195,137686,139178,154597,157026,160228,159573,161299,117819,117498,123568,126287,125907,127614,129205,123776,132280,133701,147103,149692,149680,153156,155251,241334,247384,252731,258017,257201,260631,263896,259971,269966,272879,301700,306718,313209,312729,316550
Mersam,13329,13938,13727,13808,13676,13735,13819,13852,13882,13909,17069,17402,17763,17653,17855,13067,12958,13493,13612,13480,13545,13562,13607,13642,13668,16177,16420,16448,16875,17116,26396,26896,27220,27420,27156,27280,27381,27459,27524,27577,33246,33822,34560,34528,34971
Maro Sebo Ulu,14764,15587,15611,15901,15948,16219,16482,16729,16977,17227,20408,20963,21556,21539,21934,14541,14560,15420,15747,15793,16071,16340,16602,16858,17104,19180,19583,19618,20420,20853,29305,30147,31031,31648,31741,32290,32822,33331,33835,34331,39588,40546,41713,41959,42787
Batin XXIV,13163,13827,13768,13954,13924,14088,14244,14385,14522,14660,16191,16448,16722,16703,16880,12260,12215,12864,13070,13041,13203,13354,13499,13637,13766,15558,15823,15852,16189,16407,25423,26042,26632,27024,26965,27291,27598,27884,28159,28426,31749,32271,32948,32892,33287
Muara Tembesi,13723,14502,14487,14746,14779,15019,15251,15469,15687,32018,17203,17508,17834,17730,17912,13510,13542,14304,14598,14629,14876,15112,15344,15568,31177,16691,16933,16963,17349,17577,27233,28044,28791,29344,29408,29895,30363,30813,31255,63195,33894,34441,35151,35079,35489
Muara Bulian,28045,29613,29506,29983,29999,30441,30858,31246,31632,15905,35292,35921,36599,36425,36818,27087,27127,28576,29121,29136,29570,29996,30407,30802,15784,33668,34186,34249,35050,35527,55132,56740,58082,59104,59135,60011,60854,61653,62434,31689,68960,70107,71589,71745,72345
Bajubang,18644,19754,19811,20232,20342,20741,21130,21501,21872,22247,21716,21941,22191,22093,22224,16605,16685,17701,18124,18221,18586,18943,12295,19641,19978,20241,20509,20546,20773,20956,35249,36439,37512,38356,38563,39327,40073,33796,41513,42225,41957,42450,43139,42866,43180
Maro Sebo Ilir,6791,7116,6672,7398,7034,7079,7121,7153,7185,7216,7935,8019,8112,8059,8102,6155,6117,6065,6704,6409,6457,6497,6534,6567,6593,7386,7473,7487,7568,7630,12946,13233,12737,14102,13443,13536,13618,13687,13752,13809,15321,15492,15735,15627,15732
Pemayung,15056,15549,15581,15708,15592,15695,15786,15860,15929,15996,18783,19104,19451,19371,19574,14594,14294,15145,15311,15198,15306,15401,15488,15565,15631,18202,18485,18517,18932,19185,29650,29843,30726,31019,30790,31001,31187,31348,31494,31627,36985,37589,38374,38303,38759